acc. date,type,operator,Onboard Fatality,Ground Fatality,Total Fatality,location,dmg,capacity
20 Nov 2018,B737,Aeroflot,0,1,1,Moskva-Sheremetyevo Airport (SVO/UUEE),min,230
14 Jan 2019,B707,"Saha Air, lsf Islamic Republic of Iran Air Force - IRIAF",15,0,15,Fat'h Airport,w/o,189
23 Feb 2019,B767,"Amazon Air, opb Atlas Air",3,0,3,"Trinity Bay, near Anahuac, TX",w/o,375
24 Feb 2019,B737,Biman Bangladesh Airlines,1,0,1,Chittagong-Shah Amanat International Airport (CGP),min,230
10 Mar 2019,B737,Ethiopian Airlines,157,0,157,50 km ESE of Addis Ababa-Bole Airport (ADD),w/o,230
6 May 2019,B777,Kuwait Airways,0,1,1,Kuwait International Airport (KWI/OKBK),non,396
8 Jan 2020,B737,Ukraine International Airlines,176,0,176,near Sabashahr,w/o,230
5 Feb 2020,B737,Pegasus Airlines,3,0,3,Istanbul-Sabiha Gökçen International Airport (SAW),w/o,230
7 Feb 2020,B737,Nok Air,0,1,1,Bangkok-Don Muang International Airport (DMK/VTBD),min,230
7 May 2020,B737,Southwest Airlines,0,1,1,"Austin-Bergstrom International Airport, TX (AUS/KAUS)",min,230
22 May 2020,A320,Pakistan International Airlines - PIA,97,1,98,"1,4 km E of Karachi-Jinnah International Airport (KHI)",w/o,244
7 Aug 2020,B737,Air India Express,21,0,21,Kozhikode-Calicut Airport (CCJ),w/o,230
9 Jan 2021,B737,Sriwijaya Air,62,0,62,19 km NE of Jakarta-Soekarno-Hatta International Airport (CGK),w/o,230
24 Jan 2022,A320,Qingdao Airlines,0,1,1,Qingdao Jiaodong International Airport (TAO/ZSQD),non,244
21 Mar 2022,B737,China Eastern Airlines,132,0,132,"20 km SW of Wuzhou, Tengxian County",w/o,230
2 Sep 2022,A320,TAP Air Portugal,0,2,2,Conakry-Gbessia International Airport (CKY),sub,244
18 Nov 2022,A320,LATAM Perú,0,2,2,Lima-Jorge Chávez International Airport (LIM),w/o,244
23 Jun 2023,A320,Delta Air Lines,0,1,1,"San Antonio International Airport, TX (SAT/KSAT)",min,244
14 Aug 2023,B787,LATAM Airlines Chile,1,0,1,"N of Panama, over Caribbean Sea",non,330
